

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================

    C1                0402-G2           04610 08935
    C1A               0402-G2           05810 08935
    C1B               0402-G2           07010 08935
    C1C               0402-G2           07010 10135
    C1D               0402-G2           05810 10135
    C1E               0402-G2           04610 10135
    C1F               0402-G2           04610 11335
    C1G               0402-G2           05810 11335
    C1H               0402-G2           07010 11335
    C2                0402-G2           04315 09310
    C2A               0402-G2           05515 09310
    C2B               0402-G2           06715 09310
    C2C               0402-G2           06715 10510
    C2D               0402-G2           05515 10510
    C2E               0402-G2           04315 10510
    C2F               0402-G2           04315 11710
    C2G               0402-G2           05515 11710
    C2H               0402-G2           06715 11710
    C3                0402-G2           04250 08975
    C3A               0402-G2           05450 08975
    C3B               0402-G2           06650 08975
    C3C               0402-G2           06650 10175
    C3D               0402-G2           05450 10175
    C3E               0402-G2           04250 10175
    C3F               0402-G2           04250 11375
    C3G               0402-G2           05450 11375
    C3H               0402-G2           06650 11375
    C4                0402-G2           04500 09350
    C4A               0402-G2           05700 09350
    C4B               0402-G2           06900 09350
    C4C               0402-G2           06900 10550
    C4D               0402-G2           05700 10550
    C4E               0402-G2           04500 10550
    C4F               0402-G2           04500 11750
    C4G               0402-G2           05700 11750
    C4H               0402-G2           06900 11750
    C5                0402-G2           04585 09350
    C5A               0402-G2           05785 09350
    C5B               0402-G2           06985 09350
    C5C               0402-G2           06985 10550
    C5D               0402-G2           05785 10550
    C5E               0402-G2           04585 10550
    C5F               0402-G2           04585 11750

                                  U.C. BERKELEY

    20-Nov-07  20:46                                                 Page  1

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================

    C5G               0402-G2           05785 11750
    C5H               0402-G2           06985 11750
    C6                0402-G2           04690 09075
    C6A               0402-G2           05890 09075
    C6B               0402-G2           07090 09075
    C6C               0402-G2           07090 10275
    C6D               0402-G2           05890 10275
    C6E               0402-G2           04690 10275
    C6F               0402-G2           04690 11475
    C6G               0402-G2           05890 11475
    C6H               0402-G2           07090 11475
    C7                0402-G2           04660 09305
    C7A               0402-G2           05860 09305
    C7B               0402-G2           07060 09305
    C7C               0402-G2           07060 10505
    C7D               0402-G2           05860 10505
    C7E               0402-G2           04660 10505
    C7F               0402-G2           04660 11705
    C7G               0402-G2           05860 11705
    C7H               0402-G2           07060 11705
    C8                0402-G2           04345 08950
    C8A               0402-G2           05545 08950
    C8B               0402-G2           06745 08950
    C8C               0402-G2           06745 10150
    C8D               0402-G2           05545 10150
    C8E               0402-G2           04345 10150
    C8F               0402-G2           04345 11350
    C8G               0402-G2           05545 11350
    C8H               0402-G2           06745 11350
    C9                0402-G2           04645 08980
    C9A               0402-G2           05845 08980
    C9B               0402-G2           07045 08980
    C9C               0402-G2           07045 10180
    C9D               0402-G2           05845 10180
    C9E               0402-G2           04645 10180
    C9F               0402-G2           04645 11380
    C9G               0402-G2           05845 11380
    C9H               0402-G2           07045 11380
    C10               0402-G2           04690 09035
    C10A              0402-G2           05890 09035
    C10B              0402-G2           07090 09035
    C10C              0402-G2           07090 10235
    C10D              0402-G2           05890 10235

                                  U.C. BERKELEY

    20-Nov-07  20:46                                                 Page  2

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================

    C10E              0402-G2           04690 10235
    C10F              0402-G2           04690 11435
    C10G              0402-G2           05890 11435
    C10H              0402-G2           07090 11435
    C11               0402-G2           04100 08685
    C11A              0402-G2           05300 08685
    C11B              0402-G2           06500 08685
    C11C              0402-G2           06500 09885
    C11D              0402-G2           05300 09885
    C11E              0402-G2           04100 09885
    C11F              0402-G2           04100 11085
    C11G              0402-G2           05300 11085
    C11H              0402-G2           06500 11085
    C12               0402-G2           04100 08570
    C12A              0402-G2           05300 08570
    C12B              0402-G2           06500 08570
    C12C              0402-G2           06500 09770
    C12D              0402-G2           05300 09770
    C12E              0402-G2           04100 09770
    C12F              0402-G2           04100 10970
    C12G              0402-G2           05300 10970
    C12H              0402-G2           06500 10970
    C13               0805,VERY_SMALL   04625 08880
    C13A              0805,VERY_SMALL   05825 08880
    C13B              0805,VERY_SMALL   07025 08880
    C13C              0805,VERY_SMALL   07025 10080
    C13D              0805,VERY_SMALL   05825 10080
    C13E              0805,VERY_SMALL   04625 10080
    C13F              0805,VERY_SMALL   04625 11280
    C13G              0805,VERY_SMALL   05825 11280
    C13H              0805,VERY_SMALL   07025 11280
    C14               0402-G2           04795 09118
    C14A              0402-G2           05995 09118
    C14B              0402-G2           07195 09118
    C14C              0402-G2           07195 10318
    C14D              0402-G2           05995 10318
    C14E              0402-G2           04795 10318
    C14F              0402-G2           04795 11518
    C14G              0402-G2           05995 11518
    C14H              0402-G2           07195 11518
    C15               0402-G2           04767 09160
    C15A              0402-G2           05967 09160
    C15B              0402-G2           07167 09160

                                  U.C. BERKELEY

    20-Nov-07  20:46                                                 Page  3

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================

    C15C              0402-G2           07167 10360
    C15D              0402-G2           05967 10360
    C15E              0402-G2           04767 10360
    C15F              0402-G2           04767 11560
    C15G              0402-G2           05967 11560
    C15H              0402-G2           07167 11560
    C16               0402-G2           04890 09178
    C16A              0402-G2           06090 09178
    C16B              0402-G2           07290 09178
    C16C              0402-G2           07290 10378
    C16D              0402-G2           06090 10378
    C16E              0402-G2           04890 10378
    C16F              0402-G2           04890 11578
    C16G              0402-G2           06090 11578
    C16H              0402-G2           07290 11578
    C17               0402-G2           04890 09138
    C17A              0402-G2           06090 09138
    C17B              0402-G2           07290 09138
    C17C              0402-G2           07290 10338
    C17D              0402-G2           06090 10338
    C17E              0402-G2           04890 10338
    C17F              0402-G2           04890 11538
    C17G              0402-G2           06090 11538
    C17H              0402-G2           07290 11538
    C18               0402-G2           04150 08975
    C18A              0402-G2           05350 08975
    C18B              0402-G2           06550 08975
    C18C              0402-G2           06550 10175
    C18D              0402-G2           05350 10175
    C18E              0402-G2           04150 10175
    C18F              0402-G2           04150 11375
    C18G              0402-G2           05350 11375
    C18H              0402-G2           06550 11375
    C19               0402-G2           04120 09355
    C19A              0402-G2           05320 09355
    C19B              0402-G2           06520 09355
    C19C              0402-G2           06520 10555
    C19D              0402-G2           05320 10555
    C19E              0402-G2           04120 10555
    C19F              0402-G2           04120 11755
    C19G              0402-G2           05320 11755
    C19H              0402-G2           06520 11755
    C21               0402-G2           04732 09223

                                  U.C. BERKELEY

    20-Nov-07  20:46                                                 Page  4

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================

    C21A              0402-G2           05932 09223
    C21B              0402-G2           07132 09223
    C21C              0402-G2           07132 10423
    C21D              0402-G2           05932 10423
    C21E              0402-G2           04732 10423
    C21F              0402-G2           04732 11623
    C21G              0402-G2           05932 11623
    C21H              0402-G2           07132 11623
    C22               0402-G2           04100 08860
    C22A              0402-G2           05300 08860
    C22B              0402-G2           06500 08860
    C22C              0402-G2           06500 10060
    C22D              0402-G2           05300 10060
    C22E              0402-G2           04100 10060
    C22F              0402-G2           04100 11260
    C22G              0402-G2           05300 11260
    C22H              0402-G2           06500 11260
    C23               0402-G2           04900 08670
    C23A              0402-G2           06100 08670
    C23B              0402-G2           07300 08670
    C23C              0402-G2           07300 09870
    C23D              0402-G2           06100 09870
    C23E              0402-G2           04900 09870
    C23F              0402-G2           04900 11070
    C23G              0402-G2           06100 11070
    C23H              0402-G2           07300 11070
    C24               0402-G2           04235 09355
    C24A              0402-G2           05435 09355
    C24B              0402-G2           06635 09355
    C24C              0402-G2           06635 10555
    C24D              0402-G2           05435 10555
    C24E              0402-G2           04235 10555
    C24F              0402-G2           04235 11755
    C24G              0402-G2           05435 11755
    C24H              0402-G2           06635 11755
    FUD1              FUDICIAL,ECC      03875 08950
    FUD2              FUDICIAL,ECC      04500 08325
    FUD3              FUDICIAL,ECC      06900 08325
    FUD4              FUDICIAL,ECC      06900 11975
    FUD5              FUDICIAL,ECC      04500 11975
    FUD6              FUDICIAL,ECC      03875 11350
    FUD7              FUDICIAL,ECC      07525 10150
    FUD8              FUDICIAL,ECC      05700 11975

                                  U.C. BERKELEY

    20-Nov-07  20:46                                                 Page  5

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================

    FUD9              FUDICIAL,ECC      05700 11975
    FUD10             FUDICIAL,ECC      07525 11350
    FUD11             FUDICIAL,ECC      07525 08950
    FUD12             FUDICIAL,ECC      05700 08325
    FUD13             FUDICIAL,ECC      03875 10150
    J1                CONN,RF,HRS       04845 09315
    J1A               CONN,RF,HRS       06045 09315
    J1B               CONN,RF,HRS       07245 09315
    J1C               CONN,RF,HRS       07245 10515
    J1D               CONN,RF,HRS       06045 10515
    J1E               CONN,RF,HRS       04845 10515
    J1F               CONN,RF,HRS       04845 11715
    J1G               CONN,RF,HRS       06045 11715
    J1H               CONN,RF,HRS       07245 11715
    L4                0402-G2           04714 09139
    L4A               0402-G2           05914 09139
    L4B               0402-G2           07114 09139
    L4C               0402-G2           07114 10339
    L4D               0402-G2           05914 10339
